product_id,sku,stock_status,product_cat,feeding_table_id,b_path_status,repository_capability,runtime_eligible,exclusion_reason
12452,01A1B01030,instock,72,160,full,calculator_supported,1,
12453,01A1B02031,instock,72,159,full,calculator_supported,1,
12455,01A1C04030,instock,72,162,full,calculator_supported,1,
12456,01A1E04030,instock,72,161,full,calculator_supported,1,
12457,01A1E05030,instock,72,163,full,calculator_supported,1,
12458,01A1E08030,instock,72,164,full,calculator_supported,1,
12459,01A1H0105,instock,72,105,full,calculator_supported,1,
12461,01A1H02040,instock,72,,,,0,no_active_table
12462,01A1H02050,instock,72,102,full,calculator_supported,1,
12464,01A1H02090,instock,72,156,full,calculator_supported,1,
12466,01A4A04050,instock,72,2,full,calculator_supported,1,
12468,01A4A05050,instock,72,157,full,calculator_supported,1,
12469,01A6A01110,instock,81,,,,0,no_active_table
12470,01A6B0112,instock,81,,,,0,no_active_table
12471,01A6B0212,instock,81,,,,0,no_active_table
12472,01A6B03110,instock,81,,,,0,no_active_table
12473,01A6B05091,instock,81,,,,0,no_active_table
12482,01OKA0010,instock,81,,,,0,no_active_table
12483,01OSU0003H,instock,72,,,,0,no_active_table
12484,01OSU0004H,instock,72,,,,0,no_active_table
12485,01OSU00070,instock,72,,,,0,no_active_table
12486,01OSU00080,instock,72,,,,0,no_active_table
12522,01M002002,instock,72,154,full,calculator_partial,1,needs_condition_axis
12525,01M010104,instock,72,152,partial,unsupported_structure,0,unsupported_structure
12527,01M011102,instock,72,153,full,calculator_partial,1,needs_condition_axis
12528,01M011103,instock,72,153,full,calculator_partial,1,needs_condition_axis
12531,01M020130,instock,72,155,partial,unsupported_structure,0,unsupported_structure
12533,01M0301020,instock,72,,,,0,no_active_table
12534,01M0311020,instock,72,151,full,calculator_partial,1,needs_condition_axis
12536,01M0400022,instock,72,150,full,calculator_partial,1,needs_condition_axis
12538,01M0400102,instock,72,64,partial,unsupported_structure,0,unsupported_structure
12540,01M0400202,instock,72,75,full,calculator_partial,1,needs_condition_axis
12541,01M0400203,instock,72,75,full,calculator_partial,1,needs_condition_axis
12543,01M0400302,instock,72,75,full,calculator_partial,1,needs_condition_axis
12544,01M0400303,instock,72,75,full,calculator_partial,1,needs_condition_axis
12546,01M0401102,instock,72,76,partial,unsupported_structure,0,unsupported_structure
12547,01M0401103,instock,72,76,partial,unsupported_structure,0,unsupported_structure
12549,01M0401202,instock,72,76,partial,unsupported_structure,0,unsupported_structure
12551,01M041101,instock,72,,,,0,no_active_table
12552,01M0411020,instock,72,74,full,calculator_partial,1,needs_condition_axis
12553,01M041201,instock,72,73,full,calculator_partial,1,needs_condition_axis
12554,01M0412020,instock,72,73,full,calculator_partial,1,needs_condition_axis
12556,01M0413020,instock,72,147,full,calculator_partial,1,needs_condition_axis
12557,01M041401,instock,72,127,full,calculator_partial,1,needs_condition_axis
12558,01M041402,instock,72,127,full,calculator_partial,1,needs_condition_axis
12559,01M041501,instock,72,148,full,calculator_partial,1,needs_condition_axis
12560,01M041502,instock,72,,,,0,no_active_table
12561,01M041601,instock,72,149,full,calculator_partial,1,needs_condition_axis
12562,01M041602,instock,72,,,,0,no_active_table
12563,01M041701,instock,72,71,full,calculator_partial,1,needs_condition_axis
12564,01M041702,instock,72,71,full,calculator_partial,1,needs_condition_axis
12566,01M041802,instock,72,,,,0,no_active_table
12568,01M042002,instock,72,,,,0,no_active_table
12570,01M051201,instock,72,145,full,calculator_partial,1,needs_condition_axis
12571,01M060101,instock,72,,,,0,no_active_table
12572,01M061001,instock,72,66,full,calculator_partial,1,needs_condition_axis
12573,01M061201,instock,72,69,full,calculator_partial,1,needs_condition_axis
12574,01M061301,instock,72,139,full,calculator_partial,1,needs_condition_axis
12576,01M110102,instock,81,,,,0,no_active_table
12580,01M131102,instock,81,144,full,calculator_partial,1,needs_condition_axis
12581,01M171102,instock,81,70,full,calculator_partial,1,needs_condition_axis
12582,01M181102,instock,81,67,full,calculator_partial,1,needs_condition_axis
12583,01M182102,instock,81,68,full,calculator_partial,1,needs_condition_axis
12584,01M191111,instock,81,142,full,calculator_partial,1,needs_condition_axis
12586,01M201202,instock,81,143,full,calculator_partial,1,needs_condition_axis
12636,01M412102,instock,72,206,full,calculator_partial,1,needs_condition_axis
12659,01MB131101,instock,81,,,,0,no_active_table
12660,01MB141101,instock,81,142,full,calculator_partial,1,needs_condition_axis
12661,01MB151101,instock,81,141,full,calculator_partial,1,needs_condition_axis
12662,01MB181101,instock,81,,,,0,no_active_table
12663,01MB191101,instock,81,140,full,calculator_partial,1,needs_condition_axis
12666,01MB400101,instock,72,,,,0,no_active_table
12667,01MB411101,instock,72,205,full,calculator_partial,1,needs_condition_axis
12668,01MB412101,instock,72,206,full,calculator_partial,1,needs_condition_axis
12669,01MB421101,instock,72,204,full,calculator_partial,1,needs_condition_axis
12670,01MB421201,instock,72,203,full,calculator_partial,1,needs_condition_axis
12671,01MB421301,instock,72,202,full,calculator_partial,1,needs_condition_axis
12672,01MB431101,instock,72,201,full,calculator_partial,1,needs_condition_axis
12673,01MB510101,instock,81,209,partial,calculator_partial,1,needs_condition_axis
12674,01MB511101,instock,81,207,full,calculator_partial,1,needs_condition_axis
12675,01MB511201,instock,81,,,,0,no_active_table
12676,01MB511301,instock,81,,,,0,no_active_table
12679,01MVC002,instock,81,,,,0,no_active_table
12681,01MVC102,instock,81,,,,0,no_active_table
12683,01MVC302,instock,81,,,,0,no_active_table
12685,01MVC402,instock,81,,,,0,no_active_table
12687,01MVC602,instock,81,,,,0,no_active_table
12689,01MVC702,instock,81,,,,0,no_active_table
12691,01MVC802,instock,81,,,,0,no_active_table
12693,01MVC902,instock,81,,,,0,no_active_table
12694,01MVD001,instock,72,,,,0,no_active_table
12695,01MVD002,instock,72,,,,0,no_active_table
12696,01MVD101,instock,72,,,,0,no_active_table
12697,01MVD102,instock,72,,,,0,no_active_table
12698,01MVD202,instock,72,,,,0,no_active_table
12699,01MVD301,instock,72,,,,0,no_active_table
12700,01MVD302,instock,72,,,,0,no_active_table
12701,01MVD401,instock,72,,,,0,no_active_table
12702,01MVD402,instock,72,,,,0,no_active_table
12703,01MVD501,instock,72,,,,0,no_active_table
12706,01MVD602,instock,72,,,,0,no_active_table
12707,01MVD701,instock,72,,,,0,no_active_table
12708,01MVD702,instock,72,,,,0,no_active_table
12718,01O69509710,instock,72,,,,0,no_active_table
12719,01O702703,instock,72,,,,0,no_active_table
12720,01O702700,instock,72,,,,0,no_active_table
12721,01O702705,instock,72,,,,0,no_active_table
12828,01O702701,instock,72,,,,0,no_active_table
12829,01MB231101,instock,81,,,,0,no_active_table
12830,01M061302,instock,72,139,full,calculator_partial,1,needs_condition_axis
12837,01M201502,instock,81,,,,0,no_active_table
12842,01M061203,instock,72,69,full,calculator_partial,1,needs_condition_axis
12859,01M061002,instock,72,66,full,calculator_partial,1,needs_condition_axis
12915,01A1H0215,instock,72,105,full,calculator_supported,1,
12916,01M041901,instock,72,65,full,calculator_partial,1,needs_condition_axis
12928,01A1C01032,instock,72,136,full,calculator_supported,1,
12930,01A1C03032,instock,72,137,full,calculator_supported,1,
12932,01OKA0111,instock,81,,,,0,no_active_table
12933,01OKA0256,instock,81,,,,0,no_active_table
12985,01MVD2011,instock,72,,,,0,no_active_table
12992,01OSU0067N,instock,72,,,,0,no_active_table
12993,01M183102,instock,81,135,full,calculator_partial,1,needs_condition_axis
13009,01OSU0070N,instock,72,,,,0,no_active_table
13019,01A1E09032,instock,72,134,full,calculator_supported,1,
13037,01M060102,instock,72,,,,0,no_active_table
13049,01M0415000,instock,72,132,partial,calculator_partial,1,needs_condition_axis
13051,01M04003000,instock,72,130,partial,calculator_partial,1,needs_condition_axis
13052,01M04003001,instock,72,130,partial,calculator_partial,1,needs_condition_axis
13053,01M0414000,instock,72,129,partial,calculator_partial,1,needs_condition_axis
13054,01M0414001,instock,72,129,partial,calculator_partial,1,needs_condition_axis
13055,01M041910,instock,72,131,full,calculator_partial,1,needs_condition_axis
13056,01M041911,instock,72,131,full,calculator_partial,1,needs_condition_axis
13869,01M0400103,instock,72,64,partial,unsupported_structure,0,unsupported_structure
13871,01M201602,instock,81,,,,0,no_active_table
13990,01M110110,instock,81,,,,0,no_active_table
13991,01M181110,instock,81,67,full,calculator_partial,1,needs_condition_axis
13992,01M182110,instock,81,63,full,calculator_partial,1,needs_condition_axis
14042,01M511303,instock,81,208,full,calculator_partial,1,needs_condition_axis
14171,01OKA9997,instock,81,,,,0,no_active_table
14173,01OSU4456,instock,72,,,,0,no_active_table
14183,01M510103,instock,81,209,partial,calculator_partial,1,needs_condition_axis
14185,01M511503,instock,81,,,,0,no_active_table
14186,01M511703,instock,81,,,,0,no_active_table
14274,01KOM057,instock,81,,,,0,no_active_table
14276,01ORDZB01,instock,72,,,,0,no_active_table
14277,01ORDZB02,instock,72,,,,0,no_active_table
14278,01ORDZB03,instock,72,,,,0,no_active_table
14279,01ORDZB04,instock,72,,,,0,no_active_table
14280,01ORDZB05,instock,72,,,,0,no_active_table
14281,01ORDZB06,instock,72,,,,0,no_active_table
14288,01MSED0551,instock,72,127,full,calculator_partial,1,needs_condition_axis
14467,01ORDZB07,instock,72,,,,0,no_active_table
14468,01ORDZB08,instock,72,,,,0,no_active_table
14469,01ORDZB09,instock,72,,,,0,no_active_table
14470,01ORDZB10,instock,72,,,,0,no_active_table
14471,01ORDZB11,instock,72,,,,0,no_active_table
14472,01ORDZB12,instock,72,,,,0,no_active_table
14473,01ORDZB13,instock,72,,,,0,no_active_table
14475,01A1B02061,instock,72,126,full,calculator_supported,1,
14476,01A1B03061,instock,72,106,full,calculator_supported,1,
14477,01A1B06132,instock,72,125,full,calculator_supported,1,
14478,01A1H02140,instock,72,124,full,calculator_supported,1,
14497,F011BR1251,instock,72,62,partial,unsupported_structure,0,unsupported_structure
14498,F011BR1261,instock,72,10,full,calculator_supported,1,
14500,F011BR1271,instock,72,122,partial,unsupported_structure,0,unsupported_structure
14501,F011BR1281,instock,72,52,full,calculator_supported,1,
14502,F011BR1282,instock,72,52,full,calculator_supported,1,
14503,F011OC0303,instock,72,,,,0,no_active_table
14504,F011OC0322,instock,72,,,,0,no_active_table
14505,F011OC0371,instock,72,9,full,calculator_supported,1,
14506,F011OC0372,instock,72,9,full,calculator_supported,1,
14507,F011OC0373,instock,72,9,full,calculator_supported,1,
14508,F011OC0381,instock,72,57,full,calculator_supported,1,
14509,F011OC0382,instock,72,57,full,calculator_supported,1,
14510,F011OC0391,instock,72,60,full,calculator_supported,1,
14511,F011OC0392,instock,72,60,full,calculator_supported,1,
14512,F011OC0393,instock,72,60,full,calculator_supported,1,
14513,F011OC0401,instock,72,59,full,calculator_supported,1,
14514,F011OC0402,instock,72,59,full,calculator_supported,1,
14515,F011PR0522,instock,72,121,partial,unsupported_structure,0,unsupported_structure
14516,F011PR0541,instock,72,60,full,calculator_supported,1,
14517,F011PR0542,instock,72,60,full,calculator_supported,1,
14519,F011PR0561,instock,72,60,full,calculator_supported,1,
14520,F011PR0562,instock,72,60,full,calculator_supported,1,
14521,F011PR0563,instock,72,60,full,calculator_supported,1,
14522,F011PR0571,instock,72,59,full,calculator_supported,1,
14523,F011PR0572,instock,72,59,full,calculator_supported,1,
14524,F011PU0601,instock,72,120,partial,calculator_partial,1,needs_condition_axis
14525,F011PU0602,instock,72,120,partial,calculator_partial,1,needs_condition_axis
14526,F011PU0611,instock,72,,,,0,no_active_table
14530,F011PU0653,instock,72,,,,0,no_active_table
14532,F011PU0662,instock,72,9,full,calculator_supported,1,
14534,F011PU0672,instock,72,,,,0,no_active_table
14535,F011PU0682,instock,72,57,full,calculator_supported,1,
14537,F011PU0702,instock,72,9,full,calculator_supported,1,
14539,F011PU0711,instock,72,57,full,calculator_supported,1,
14541,F011PU0721,instock,72,58,full,calculator_supported,1,
14542,F011PU0722,instock,72,57,full,calculator_supported,1,
14544,F011PU0732,instock,72,57,full,calculator_supported,1,
14545,F011PU0741,instock,72,58,full,calculator_supported,1,
14546,F011QU0811,instock,72,119,full,calculator_supported,1,
14547,F011QU0812,instock,72,119,full,calculator_supported,1,
14548,F011QU0821,instock,72,56,full,calculator_supported,1,
14549,F011QU0822,instock,72,56,full,calculator_supported,1,
14550,F011QU0823,instock,72,56,full,calculator_supported,1,
14551,F011QU0831,instock,72,55,full,calculator_supported,1,
14552,F011QU0832,instock,72,55,full,calculator_supported,1,
14553,F011QU0852,instock,72,119,full,calculator_supported,1,
14554,F011QU0891,instock,72,119,full,calculator_supported,1,
14556,F011QU0911,instock,72,118,full,calculator_supported,1,
14558,F011QU0921,instock,72,117,full,calculator_supported,1,
14559,F011QU0922,instock,72,117,full,calculator_supported,1,
14560,F011QU0931,instock,72,116,full,calculator_supported,1,
14561,F011QU0932,instock,72,116,full,calculator_supported,1,
14564,F011TR1131,instock,72,54,full,calculator_supported,1,
14565,F011TR1132,instock,72,54,full,calculator_supported,1,
14566,F011TR1151,instock,72,53,full,calculator_supported,1,
14567,F011TR1152,instock,72,53,full,calculator_supported,1,
14568,F011TR1161,instock,72,54,full,calculator_supported,1,
14569,F011TR1162,instock,72,54,full,calculator_supported,1,
14570,F011TR1171,instock,72,53,full,calculator_supported,1,
14571,F011TR1172,instock,72,53,full,calculator_supported,1,
14572,F011TR1181,instock,72,54,full,calculator_supported,1,
14573,F011TR1182,instock,72,54,full,calculator_supported,1,
14574,F011TR1191,instock,72,53,full,calculator_supported,1,
14575,F011TR1192,instock,72,53,full,calculator_supported,1,
14577,F011WH1211,instock,72,10,full,calculator_supported,1,
14578,F011WH1212,instock,72,10,full,calculator_supported,1,
14579,F011WH1221,instock,72,115,partial,unsupported_structure,0,unsupported_structure
14580,F011WH1231,instock,72,52,full,calculator_supported,1,
14581,F011WH1232,instock,72,52,full,calculator_supported,1,
14584,F012OC0202,instock,81,,,,0,no_active_table
14587,F012OC0232,instock,81,5,full,calculator_supported,1,
14590,F012OC0242,instock,81,114,full,calculator_supported,1,
14591,F012OC0243,instock,81,114,full,calculator_supported,1,
14593,F012PR0302,instock,81,,,,0,no_active_table
14604,F012PU0422,instock,81,51,full,calculator_supported,1,
14605,F012PU0423,instock,81,51,full,calculator_supported,1,
14608,F012PU0433,instock,81,112,full,calculator_supported,1,
14611,F012PU0443,instock,81,5,full,calculator_supported,1,
14614,F012QU0513,instock,81,4,full,calculator_supported,1,
14616,F012QU0542,instock,81,111,full,calculator_supported,1,
14617,F012QU0543,instock,81,111,full,calculator_supported,1,
14619,F012QU0552,instock,81,50,full,calculator_supported,1,
14620,F012QU0553,instock,81,50,full,calculator_supported,1,
14622,F012TR0712,instock,81,3,full,calculator_supported,1,
14623,F012TR0713,instock,81,3,full,calculator_supported,1,
14624,F012TR0714,instock,81,3,full,calculator_supported,1,
14628,F012TR0734,instock,81,3,full,calculator_supported,1,
14630,F031VL0112,instock,72,,,,0,no_active_table
14631,F031VL0121,instock,72,,,,0,no_active_table
14632,F031VL0122,instock,72,,,,0,no_active_table
14633,F031VL0131,instock,72,,,,0,no_active_table
14634,F031VL0132,instock,72,,,,0,no_active_table
14635,F031VL0141,instock,72,,,,0,no_active_table
14636,F031VL0142,instock,72,,,,0,no_active_table
14637,F031VL0151,instock,72,,,,0,no_active_table
14638,F031VL0152,instock,72,,,,0,no_active_table
14639,F031VL0171,instock,72,,,,0,no_active_table
14640,F031VL0172,instock,72,,,,0,no_active_table
